RBD;IVE BÁSICA 2021;IVE MEDIA 2021
12853;44%;60%
12855;NO;78%
12868;71%;72%
12885;49%;59%
12891;74%;75%
12935;71%;72%
12943;88%;84%
12958;56%;65%
12961;NO;64%
12963;54%;63%
12970;57%;73%
12977;53%;64%
12980;71%;71%
13103;75%;77%
13112;58%;68%
13145;NO;93%
13146;90%;89%
13156;76%;83%
13168;NO;91%
13178;83%;80%
13185;NO;97%
13188;66%;69%
13202;83%;83%
13205;48%;66%
13220;89%;90%
13305;53%;64%
13313;72%;70%
13314;92%;90%
13324;75%;75%
13330;90%;96%
13333;NO;94%
13341;91%;90%
13344;93%;92%
13352;NO;94%
13356;66%;72%
13360;63%;71%
13361;80%;81%
13372;58%;66%
13373;77%;80%
13383;87%;94%
13384;87%;86%
13387;88%;90%
13388;59%;65%
13394;89%;89%
13416;79%;72%
13417;89%;86%
13420;94%;96%
13426;75%;81%
13427;88%;90%
13439;74%;70%
13442;85%;85%
13445;NO;93%
13446;82%;86%
13461;NO;93%
13462;95%;97%
13475;95%;94%
13486;88%;88%
13489;77%;79%
13491;85%;84%
13503;76%;86%
13504;87%;84%
13513;90%;91%
13535;78%;75%
13542;86%;91%
13545;90%;98%
13551;93%;93%
13553;NO;93%
13558;96%;94%
13561;92%;86%
13565;85%;87%
13573;72%;81%
13576;96%;95%
13582;92%;90%
13586;94%;94%
13590;96%;95%
13604;87%;86%
13606;90%;93%
13610;80%;81%
13621;94%;93%
13626;92%;80%
13627;85%;86%
13633;72%;75%
14202;93%;94%
14206;NO;95%
14210;89%;90%
14211;70%;84%
14232;95%;89%
14233;77%;81%
14237;85%;88%
14265;73%;81%
14266;89%;94%
14270;84%;84%
14284;NO;89%
14288;78%;80%
14299;75%;84%
14313;73%;76%
14314;67%;75%
14315;85%;76%
14316;70%;80%
14332;63%;70%
14336;NO;89%
14348;87%;88%
14359;61%;64%
14363;62%;71%
14365;78%;85%
14373;92%;91%
14375;86%;86%
14381;66%;70%
14387;91%;85%
14397;89%;91%
14413;76%;85%
14416;75%;83%
14418;92%;93%
14420;76%;84%
14470;NO;94%
14487;90%;91%
14490;85%;81%
14494;84%;81%
14504;88%;93%
14506;66%;74%
14510;87%;82%
14511;86%;92%
14514;84%;82%
14516;93%;83%
14523;89%;89%
14526;78%;85%
14527;93%;85%
14534;72%;74%
14537;88%;90%
14538;69%;75%
14541;78%;81%
14552;84%;89%
14565;80%;88%
14568;74%;78%
14580;82%;84%
14594;61%;73%
14599;64%;74%
14605;91%;90%
14606;91%;91%
14608;92%;89%
14614;61%;69%
14616;88%;93%
14622;87%;83%
14626;86%;94%
14629;87%;87%
14641;81%;85%
14642;81%;87%
14643;87%;91%
14659;83%;83%
14670;52%;66%
14671;91%;90%
14673;83%;84%
14674;69%;75%
14675;82%;79%
14676;94%;100%
14677;84%;85%
14687;70%;82%
14697;91%;91%
14699;78%;85%
14703;74%;81%
14716;73%;71%
14717;80%;74%
14720;80%;88%
14750;57%;66%
14751;58%;74%
14770;79%;84%
14773;86%;85%
14775;63%;72%
14778;87%;95%
14779;58%;69%
14782;91%;90%
14783;66%;75%
14788;91%;86%
14790;83%;85%
14818;79%;82%
14819;79%;84%
14820;91%;91%
14822;87%;88%
14823;87%;91%
14825;94%;94%
14856;89%;86%
14860;67%;73%
14865;93%;95%
14866;59%;65%
14868;92%;96%
14870;89%;90%
14877;NO;95%
14879;92%;91%
14881;84%;80%
14885;68%;76%
14901;78%;81%
14912;60%;70%
14913;68%;72%
14922;90%;82%
14923;74%;80%
14953;86%;81%
15502;87%;89%
15522;83%;88%
15544;77%;80%
15554;61%;62%
15583;NO;96%
15589;85%;91%
15596;94%;95%
15600;82%;84%
15601;68%;81%
15610;81%;88%
15621;75%;87%
15624;80%;89%
15627;76%;81%
15633;75%;83%
15643;91%;81%
15646;93%;92%
15657;80%;83%
15662;62%;69%
15664;80%;83%
15676;58%;66%
15682;77%;77%
15683;86%;90%
15684;52%;71%
15690;80%;80%
15700;67%;70%
15719;82%;81%
15720;NO;98%
15722;NO;87%
15726;92%;91%
15731;92%;94%
15739;92%;93%
15744;92%;90%
15745;92%;91%
15746;82%;76%
15750;91%;90%
15758;89%;92%
15759;NO;89%
15767;90%;87%
15769;NO;95%
15774;90%;96%
15775;NO;89%
15781;98%;92%
15787;89%;91%
15792;80%;79%
15793;87%;86%
15808;NO;97%
15809;89%;88%
15817;54%;64%
15820;82%;87%
15832;94%;96%
15840;NO;85%
15843;NO;94%
16410;92%;96%
16415;78%;82%
16417;NO;96%
16424;94%;93%
16427;73%;79%
16432;100%;100%
16434;NO;98%
16441;85%;90%
16443;NO;96%
16446;90%;91%
16448;88%;88%
16452;NO;94%
16459;96%;97%
16461;94%;95%
16462;NO;95%
16467;87%;93%
16469;96%;99%
16476;71%;76%
16477;80%;77%
16485;78%;79%
16488;81%;87%
16489;59%;71%
16494;86%;86%
16502;83%;88%
16507;82%;82%
16508;66%;75%
16509;72%;86%
16512;79%;87%
16520;94%;93%
16535;93%;92%
16541;92%;90%
16549;93%;88%
16551;NO;97%
16564;97%;95%
16570;93%;95%
16582;100%;95%
16583;97%;95%
16587;NO;96%
16588;83%;89%
16600;83%;86%
16604;NO;90%
16608;95%;91%
16627;60%;69%
16634;92%;94%
16642;NO;98%
16644;93%;94%
16652;91%;86%
16676;95%;94%
16678;NO;95%
16685;95%;92%
16697;NO;96%
16716;87%;87%
16728;61%;68%
16729;96%;90%
16730;91%;92%
16748;90%;84%
16749;87%;86%
16751;88%;91%
16754;NO;97%
16756;85%;82%
16757;86%;87%
16783;83%;93%
16793;NO;91%
16798;68%;80%
16807;85%;86%
16825;93%;88%
16830;NO;93%
16843;76%;95%
16844;NO;97%
16856;91%;96%
16886;NO;87%
16923;42%;58%
16932;91%;92%
16942;100%;98%
16945;86%;88%
16958;87%;87%
16985;90%;84%
16997;70%;77%
17600;66%;73%
17605;70%;75%
17607;47%;59%
17635;88%;92%
17643;NO;100%
17652;82%;85%
17657;76%;81%
17660;54%;59%
17662;NO;98%
17687;60%;71%
17703;86%;85%
17708;71%;79%
17719;77%;84%
17725;82%;84%
17728;66%;71%
17734;88%;85%
17735;94%;88%
17736;86%;89%
17737;98%;94%
17746;95%;94%
17750;81%;83%
17765;84%;82%
17772;NO;99%
17778;91%;90%
17779;80%;82%
17782;94%;94%
17788;78%;85%
17790;NO;96%
17793;77%;85%
17794;59%;70%
17800;77%;82%
17812;56%;63%
17817;85%;85%
17818;NO;94%
17833;66%;79%
17838;98%;97%
17843;NO;85%
17848;94%;95%
17850;85%;87%
17854;92%;93%
17855;56%;71%
17857;NO;86%
17858;76%;81%
17859;47%;60%
17860;92%;90%
17876;71%;79%
17877;66%;69%
17885;NO;91%
17892;100%;100%
17895;95%;93%
17900;61%;66%
17902;85%;89%
17903;76%;81%
17907;72%;82%
17908;88%;88%
17912;70%;75%
17915;95%;94%
17918;77%;81%
17920;94%;93%
18004;NO;98%
18017;96%;98%
18021;93%;95%
18028;90%;91%
18034;77%;79%
18035;82%;84%
18037;NO;99%
18049;70%;76%
18050;78%;80%
18066;91%;89%
18075;99%;94%
18080;NO;95%
18087;86%;88%
18090;98%;99%
18097;47%;59%
18099;98%;100%
18112;94%;93%
18114;75%;78%
18124;71%;81%
18128;60%;65%
18172;76%;77%
18181;81%;81%
18199;88%;90%
18216;93%;88%
18218;92%;94%
18220;79%;84%
18237;67%;80%
18249;76%;87%
18251;61%;65%
19906;96%;99%
19913;NO;99%
19921;74%;77%
19925;100%;99%
19952;88%;90%
19953;95%;100%
19954;89%;92%
19959;NO;82%
19968;85%;84%
19972;81%;82%
19974;NO;98%
19981;49%;69%
19983;95%;95%
20008;93%;98%
20016;96%;92%
20025;80%;82%
20037;NO;94%
20041;94%;91%
20048;67%;72%
20052;98%;97%
20053;NO;100%
20068;59%;70%
20074;82%;89%
20085;76%;72%
20090;60%;78%
20095;86%;85%
20102;89%;100%
20103;NO;97%
20127;NO;99%
20129;94%;91%
20136;NO;95%
20137;81%;81%
20139;92%;95%
20153;62%;73%
20158;96%;86%
20159;92%;90%
20164;98%;99%
20167;78%;87%
20173;83%;84%
20175;98%;99%
20181;52%;62%
20184;NO;94%
20193;NO;98%
20194;63%;86%
20205;94%;94%
20209;58%;62%
20213;92%;95%
20219;90%;95%
20230;NO;98%
20248;100%;96%
20258;90%;92%
20266;86%;78%
20274;85%;90%
20277;90%;88%
20278;85%;100%
20290;88%;92%
20324;78%;84%
20348;71%;84%
20352;NO;90%
20364;78%;83%
20376;97%;97%
20388;100%;92%
20409;89%;88%
20410;97%;100%
20424;87%;80%
20436;58%;66%
20440;67%;85%
20461;NO;96%
20475;93%;93%
20478;83%;83%
20484;77%;100%
20505;92%;87%
20631;90%;100%
20663;82%;83%
22007;82%;83%
22012;100%;96%
22014;86%;86%
22021;NO;93%
22022;NO;96%
22024;NO;97%
22027;NO;96%
22050;NO;96%
22065;73%;76%
22083;81%;84%
22084;NO;100%
22086;90%;95%
22113;NO;98%
22114;NO;95%
22140;NO;98%
22155;44%;57%
22160;78%;79%
22191;89%;85%
22192;89%;87%
22196;73%;86%
22200;89%;87%
22210;54%;66%
22211;47%;56%
22218;92%;99%
22224;66%;83%
22234;96%;95%
22236;61%;73%
22262;86%;92%
22270;NO;98%
22271;91%;95%
22306;84%;80%
22309;94%;93%
22313;98%;96%
22317;91%;96%
22322;95%;95%
22330;68%;79%
22351;54%;61%
22356;81%;76%
22358;94%;93%
22372;69%;74%
22374;94%;98%
22397;NO;96%
22398;57%;70%
22403;70%;76%
22410;69%;74%
22415;NO;94%
22434;78%;80%
22436;95%;95%
22459;67%;68%
22461;NO;80%
22462;96%;97%
22464;NO;96%
22478;NO;96%
22483;83%;84%
22494;NO;93%
22495;93%;94%
22496;98%;98%
22499;92%;94%
22504;94%;94%
22505;93%;91%
22516;89%;88%
22535;92%;93%
22536;70%;73%
22540;NO;91%
22542;78%;76%
22543;NO;93%
22544;95%;92%
22553;NO;97%
22560;91%;92%
22564;83%;88%
22597;NO;94%
22602;84%;80%
22609;63%;73%
22626;NO;93%
22629;85%;87%
22634;84%;75%
22641;83%;93%
22655;NO;92%
22664;NO;93%
22672;84%;86%
22674;NO;93%
22691;NO;91%
22692;39%;60%
22702;93%;89%
22707;95%;98%
22743;80%;90%
22752;97%;96%
22755;NO;98%
22758;96%;97%
22759;80%;84%
24201;85%;88%
24203;93%;94%
24204;NO;87%
24206;81%;79%
24207;91%;81%
24209;84%;84%
24212;40%;57%
24213;61%;78%
24224;76%;85%
24230;76%;82%
24231;87%;92%
24233;91%;86%
24240;88%;86%
24300;NO;89%
24305;67%;76%
24307;70%;76%
24316;NO;93%
24317;60%;69%
24327;64%;79%
24329;73%;77%
24338;66%;76%
24403;94%;96%
24405;85%;78%
24407;94%;91%
24410;67%;74%
24423;76%;81%
24426;89%;91%
24427;66%;72%
24438;79%;78%
24443;97%;97%
24444;NO;93%
24446;NO;93%
24448;73%;76%
24473;NO;86%
24482;NO;88%
24486;77%;75%
24496;NO;92%
24498;80%;87%
24623;89%;95%
24626;77%;82%
24638;NO;80%
24648;61%;71%
24652;NO;88%
24675;77%;78%
24685;83%;86%
24686;NO;90%
24689;93%;95%
24713;48%;70%
24714;95%;95%
24717;90%;88%
24721;67%;78%
24730;83%;86%
24733;89%;90%
24756;71%;75%
24759;84%;84%
24766;82%;85%
24769;82%;80%
24790;78%;85%
24800;56%;62%
24812;82%;86%
24828;89%;94%
24843;89%;91%
24856;94%;90%
24864;83%;85%
24878;90%;93%
24885;94%;94%
24889;88%;85%
24892;90%;88%
24894;70%;75%
24898;75%;77%
24903;69%;74%
24913;88%;85%
24935;97%;93%
24946;92%;94%
24956;91%;90%
24963;91%;88%
24966;77%;77%
24978;94%;94%
24995;85%;82%
25012;79%;85%
25026;92%;94%
25027;84%;89%
25028;92%;93%
25032;93%;93%
25038;88%;92%
25050;85%;87%
25059;84%;84%
25061;92%;93%
25070;77%;78%
25071;81%;84%
25082;94%;93%
25084;78%;81%
25085;NO;99%
25091;70%;81%
25094;88%;82%
25095;NO;80%
25101;73%;79%
25114;91%;92%
25121;89%;87%
25132;90%;89%
25136;98%;92%
25138;68%;76%
25153;60%;73%
25160;76%;80%
25166;80%;85%
25171;86%;86%
25182;NO;82%
25185;77%;81%
25196;64%;74%
25197;62%;70%
25198;60%;71%
25209;100%;100%
25210;93%;100%
25211;98%;87%
25212;70%;100%
25215;82%;84%
25218;71%;76%
25220;94%;94%
25223;43%;60%
25238;69%;74%
25250;91%;94%
25256;74%;78%
25258;NO;94%
25265;72%;78%
25269;47%;67%
25282;77%;80%
25300;84%;78%
25303;87%;94%
25304;90%;94%
25316;86%;91%
25328;62%;70%
25330;NO;92%
25342;61%;67%
25347;60%;75%
25349;60%;70%
25352;88%;89%
25359;76%;76%
25367;75%;82%
25368;90%;92%
25369;54%;67%
25371;90%;89%
25382;85%;84%
25386;83%;83%
25387;90%;87%
25389;81%;81%
25393;60%;68%
25395;90%;92%
25396;90%;91%
25402;44%;58%
25418;97%;94%
25434;81%;77%
25439;74%;80%
25442;67%;72%
25447;91%;92%
25448;89%;90%
25450;87%;91%
25454;70%;87%
25458;NO;88%
25462;93%;97%
25464;76%;82%
25471;84%;84%
25475;89%;92%
25480;54%;64%
25481;54%;68%
25482;54%;75%
25496;NO;91%
25501;67%;72%
25508;57%;65%
25509;57%;63%
25520;58%;60%
25523;95%;94%
25525;72%;78%
25526;85%;85%
25540;88%;89%
25541;37%;51%
25542;85%;87%
25543;82%;86%
25550;76%;80%
25556;92%;90%
25557;86%;87%
25558;45%;65%
25562;93%;89%
25571;88%;87%
25577;84%;84%
25580;74%;75%
25589;91%;95%
25591;NO;94%
25592;89%;85%
25599;83%;80%
25613;90%;91%
25615;94%;94%
25625;64%;65%
25644;56%;69%
25645;NO;92%
25652;100%;100%
25655;72%;82%
25671;NO;95%
25676;94%;94%
25681;72%;79%
25692;62%;68%
25693;45%;56%
25695;55%;65%
25697;94%;89%
25700;53%;61%
25703;46%;59%
25704;55%;65%
25709;58%;71%
25711;85%;84%
25712;75%;76%
25713;46%;69%
25714;75%;83%
25716;55%;66%
25717;66%;71%
25718;61%;72%
25722;43%;61%
25725;57%;70%
25727;60%;71%
25737;83%;90%
25739;68%;78%
25749;50%;65%
25751;56%;66%
25766;68%;76%
25767;59%;53%
25770;78%;79%
25779;94%;95%
25781;78%;83%
25783;82%;89%
25790;92%;92%
25795;NO;88%
25798;72%;80%
25804;64%;71%
25814;81%;84%
25824;NO;96%
25826;58%;76%
25829;56%;63%
25839;78%;82%
25843;51%;56%
25850;46%;63%
25853;75%;88%
25855;78%;79%
25865;85%;86%
25882;88%;90%
25885;57%;69%
25894;60%;71%
25895;83%;86%
25899;91%;90%
25916;68%;79%
25919;64%;72%
25921;83%;84%
25922;72%;78%
25926;89%;91%
25929;90%;88%
25936;95%;92%
25944;77%;82%
25950;NO;87%
25954;91%;89%
25960;91%;90%
25961;54%;69%
25969;84%;80%
25984;88%;90%
25988;93%;92%
25995;NO;94%
25999;56%;68%
26001;45%;58%
26006;83%;84%
26012;92%;91%
26017;65%;76%
26033;66%;74%
26035;82%;90%
26037;90%;88%
26045;72%;75%
26053;65%;73%
26075;89%;92%
26083;89%;86%
26084;91%;90%
26092;67%;77%
26094;86%;81%
26110;65%;69%
26115;71%;82%
26117;89%;89%
26135;71%;79%
26137;65%;80%
26150;83%;85%
26157;93%;95%
26164;92%;90%
26168;NO;87%
26209;93%;88%
26219;95%;98%
26254;86%;90%
26260;63%;68%
26269;87%;86%
26274;95%;96%
26292;NO;92%
26303;NO;92%
26324;76%;83%
26362;86%;85%
26365;85%;87%
26367;67%;72%
26368;75%;81%
26372;96%;95%
26378;54%;73%
26379;52%;67%
26381;63%;72%
26383;88%;89%
26384;NO;91%
26405;NO;79%
26411;81%;85%
26416;93%;87%
26426;89%;100%
26436;72%;82%
26454;73%;80%
26465;NO;82%
26466;94%;95%
26501;93%;93%
26503;44%;57%
26538;65%;72%
30001;78%;79%
30003;84%;90%
31002;NO;93%
31005;96%;96%
31010;87%;80%
31012;89%;87%
31030;93%;90%
31037;85%;88%
31052;68%;66%
31064;95%;93%
31065;81%;81%
31066;91%;90%
31068;94%;95%
31071;78%;77%
31074;73%;77%
31078;81%;84%
31080;93%;94%
31083;NO;76%
31084;85%;87%
31085;83%;81%
31087;79%;83%
31103;85%;83%
31106;81%;86%
31110;51%;67%
31116;96%;93%
31128;NO;96%
31153;89%;93%
31161;90%;87%
31175;77%;75%
31189;70%;33%
31194;78%;84%
31203;87%;90%
31253;91%;94%
31260;84%;86%
31262;82%;86%
31264;78%;70%
31274;85%;93%
31278;NO;95%
31288;88%;92%
31290;65%;79%
31293;74%;81%
31294;79%;81%
31295;81%;83%
31299;82%;84%
31327;53%;68%
31338;98%;97%
31339;91%;80%
31340;43%;59%
31342;54%;64%
31343;84%;82%
31345;70%;85%
31378;46%;70%
31379;50%;68%
31388;NO;90%
31407;96%;90%
31421;78%;92%
31432;80%;87%
31438;43%;41%
31466;90%;100%
31494;29%;40%
31495;88%;86%
31509;NO;87%
32060;70%;100%
40024;NO;94%
40025;92%;97%
40027;54%;60%
40029;NO;94%
40042;75%;77%
40064;88%;88%
40065;88%;90%
40080;NO;97%
40099;NO;94%
40102;100%;99%
40110;90%;89%
40114;90%;88%
40126;NO;95%
40155;93%;93%
40194;90%;86%
40208;92%;91%
40230;91%;92%
40231;52%;68%
40251;67%;72%
40252;NO;87%
40256;85%;88%
40284;65%;74%
40285;57%;69%
40289;89%;89%
40295;78%;76%
40298;79%;84%
40299;62%;80%
40301;NO;93%
40305;88%;88%
40310;68%;74%
40316;80%;80%
40319;74%;83%
40320;56%;71%
40334;100%;100%
40335;86%;91%
40340;NO;97%
40343;70%;78%
40351;77%;77%
40352;85%;94%
40370;70%;74%
40371;83%;87%
40390;100%;100%
40399;82%;82%
40422;88%;90%
40436;94%;80%
40457;NO;94%
41063;96%;100%
41135;NO;91%
41349;100%;100%
41417;100%;100%
41418;100%;100%
41617;NO;82%
41649;100%;100%
41654;75%;100%
41658;NO;77%
9;80%;NO
10;76%;NO
11;95%;NO
12;88%;NO
13;91%;NO
14;83%;NO
16;78%;NO
17;84%;NO
18;90%;NO
19;93%;NO
20;89%;NO
22;91%;NO
26;83%;NO
27;77%;NO
28;81%;NO
29;83%;NO
31;92%;NO
33;96%;NO
35;82%;NO
36;83%;NO
38;97%;NO
39;75%;NO
41;86%;NO
42;79%;NO
70;56%;NO
73;100%;NO
74;100%;NO
75;100%;NO
76;75%;NO
79;82%;NO
81;100%;NO
82;100%;NO
83;100%;NO
84;100%;NO
86;100%;NO
87;100%;NO
88;100%;NO
89;100%;NO
90;86%;NO
91;100%;NO
92;33%;NO
93;71%;NO
94;100%;NO
95;100%;NO
111;77%;NO
112;78%;NO
113;66%;NO
114;69%;NO
116;70%;NO
117;68%;NO
119;66%;NO
122;78%;NO
123;81%;NO
126;78%;NO
154;86%;NO
156;97%;NO
158;100%;NO
159;100%;NO
160;92%;NO
162;97%;NO
165;100%;NO
167;91%;NO
168;100%;NO
169;88%;NO
170;100%;NO
171;100%;NO
172;100%;NO
173;93%;NO
174;85%;NO
175;100%;NO
177;80%;NO
179;100%;NO
185;80%;NO
186;100%;NO
187;81%;NO
188;82%;NO
192;89%;NO
193;83%;NO
195;91%;NO
196;100%;NO
198;82%;NO
201;87%;NO
203;93%;NO
204;88%;NO
205;86%;NO
206;93%;NO
210;70%;NO
214;89%;NO
223;70%;NO
224;79%;NO
225;83%;NO
226;81%;NO
227;70%;NO
228;69%;NO
229;66%;NO
230;79%;NO
231;78%;NO
232;77%;NO
239;80%;NO
240;79%;NO
243;67%;NO
246;100%;NO
248;100%;NO
252;80%;NO
269;77%;NO
271;73%;NO
273;80%;NO
274;69%;NO
275;100%;NO
276;100%;NO
277;86%;NO
288;85%;NO
289;79%;NO
291;86%;NO
292;77%;NO
293;82%;NO
294;74%;NO
296;77%;NO
297;73%;NO
298;76%;NO
301;81%;NO
302;75%;NO
303;73%;NO
305;86%;NO
306;78%;NO
310;78%;NO
312;76%;NO
313;84%;NO
315;80%;NO
316;79%;NO
317;76%;NO
318;48%;NO
319;87%;NO
322;77%;NO
324;79%;NO
326;86%;NO
332;82%;NO
343;77%;NO
368;78%;NO
369;90%;NO
370;78%;NO
374;87%;NO
375;77%;NO
377;100%;NO
380;94%;NO
381;89%;NO
382;75%;NO
386;89%;NO
387;89%;NO
390;57%;NO
401;88%;NO
403;92%;NO
405;93%;NO
406;86%;NO
407;90%;NO
408;90%;NO
410;92%;NO
411;90%;NO
413;89%;NO
416;89%;NO
417;85%;NO
418;89%;NO
419;93%;NO
421;85%;NO
423;94%;NO
427;87%;NO
434;88%;NO
439;100%;NO
442;89%;NO
444;93%;NO
445;96%;NO
446;85%;NO
447;100%;NO
450;96%;NO
452;85%;NO
453;86%;NO
454;94%;NO
455;79%;NO
458;90%;NO
459;90%;NO
461;92%;NO
462;85%;NO
463;94%;NO
464;87%;NO
467;94%;NO
468;91%;NO
469;100%;NO
471;67%;NO
476;98%;NO
481;90%;NO
482;85%;NO
483;92%;NO
484;96%;NO
485;100%;NO
487;94%;NO
489;81%;NO
490;94%;NO
492;73%;NO
493;92%;NO
495;91%;NO
496;100%;NO
497;100%;NO
498;100%;NO
499;89%;NO
500;100%;NO
502;100%;NO
503;100%;NO
504;100%;NO
506;100%;NO
508;100%;NO
514;100%;NO
519;95%;NO
522;83%;NO
523;90%;NO
525;79%;NO
527;79%;NO
528;89%;NO
533;97%;NO
534;90%;NO
536;86%;NO
539;91%;NO
540;95%;NO
542;96%;NO
543;96%;NO
546;87%;NO
548;92%;NO
550;100%;NO
551;91%;NO
552;100%;NO
554;100%;NO
556;90%;NO
557;92%;NO
558;100%;NO
560;92%;NO
561;96%;NO
562;91%;NO
563;100%;NO
564;100%;NO
566;97%;NO
598;95%;NO
599;98%;NO
602;96%;NO
604;96%;NO
606;95%;NO
608;96%;NO
612;93%;NO
614;87%;NO
615;85%;NO
616;91%;NO
617;97%;NO
618;88%;NO
620;86%;NO
621;87%;NO
625;96%;NO
626;96%;NO
628;83%;NO
630;87%;NO
631;96%;NO
632;93%;NO
634;85%;NO
635;100%;NO
637;88%;NO
638;100%;NO
639;84%;NO
641;92%;NO
642;93%;NO
643;96%;NO
644;86%;NO
645;100%;NO
650;93%;NO
655;86%;NO
657;93%;NO
658;88%;NO
659;89%;NO
661;96%;NO
662;92%;NO
666;91%;NO
669;96%;NO
671;95%;NO
672;97%;NO
673;95%;NO
674;100%;NO
676;83%;NO
678;100%;NO
680;90%;NO
681;100%;NO
682;97%;NO
683;100%;NO
686;98%;NO
687;100%;NO
688;100%;NO
689;90%;NO
691;95%;NO
692;88%;NO
693;91%;NO
694;97%;NO
695;100%;NO
696;91%;NO
697;85%;NO
699;91%;NO
706;91%;NO
707;89%;NO
708;94%;NO
709;93%;NO
710;95%;NO
711;93%;NO
712;92%;NO
713;95%;NO
714;94%;NO
715;94%;NO
716;93%;NO
718;96%;NO
721;93%;NO
722;93%;NO
723;100%;NO
724;100%;NO
725;97%;NO
726;100%;NO
727;100%;NO
728;100%;NO
729;99%;NO
730;92%;NO
731;97%;NO
733;98%;NO
735;100%;NO
736;90%;NO
737;94%;NO
740;93%;NO
743;98%;NO
744;92%;NO
745;100%;NO
746;80%;NO
747;88%;NO
749;100%;NO
750;96%;NO
752;88%;NO
753;96%;NO
754;94%;NO
755;100%;NO
756;88%;NO
757;90%;NO
758;71%;NO
759;88%;NO
760;89%;NO
762;100%;NO
771;0%;NO
773;93%;NO
775;100%;NO
776;100%;NO
777;100%;NO
778;100%;NO
780;100%;NO
783;88%;NO
784;100%;NO
785;100%;NO
786;100%;NO
787;100%;NO
788;100%;NO
789;100%;NO
790;100%;NO
792;100%;NO
793;98%;NO
795;100%;NO
797;100%;NO
798;93%;NO
800;94%;NO
803;94%;NO
804;92%;NO
805;100%;NO
806;82%;NO
807;100%;NO
809;78%;NO
810;100%;NO
812;100%;NO
813;100%;NO
814;100%;NO
816;100%;NO
817;100%;NO
818;80%;NO
819;100%;NO
820;85%;NO
821;90%;NO
822;94%;NO
823;100%;NO
824;60%;NO
825;100%;NO
826;100%;NO
827;95%;NO
830;100%;NO
833;94%;NO
835;100%;NO
836;100%;NO
837;95%;NO
838;100%;NO
839;100%;NO
843;100%;NO
844;100%;NO
847;88%;NO
848;94%;NO
849;92%;NO
850;80%;NO
851;88%;NO
852;88%;NO
857;87%;NO
859;100%;NO
862;100%;NO
864;100%;NO
865;100%;NO
868;100%;NO
869;82%;NO
870;92%;NO
871;91%;NO
872;70%;NO
875;50%;NO
876;89%;NO
879;100%;NO
886;100%;NO
887;100%;NO
888;100%;NO
890;100%;NO
891;100%;NO
892;94%;NO
896;91%;NO
897;96%;NO
899;100%;NO
900;100%;NO
902;100%;NO
904;100%;NO
905;93%;NO
906;100%;NO
907;100%;NO
908;99%;NO
909;90%;NO
910;94%;NO
911;100%;NO
914;100%;NO
915;96%;NO
917;100%;NO
923;100%;NO
924;97%;NO
925;100%;NO
928;67%;NO
929;92%;NO
931;100%;NO
932;94%;NO
933;100%;NO
934;100%;NO
935;100%;NO
936;100%;NO
937;91%;NO
939;100%;NO
940;100%;NO
943;92%;NO
945;96%;NO
946;93%;NO
947;95%;NO
948;100%;NO
949;100%;NO
950;100%;NO
951;75%;NO
952;100%;NO
953;90%;NO
954;100%;NO
955;100%;NO
956;100%;NO
957;100%;NO
959;93%;NO
960;100%;NO
963;75%;NO
969;88%;NO
970;89%;NO
971;84%;NO
972;90%;NO
973;91%;NO
974;99%;NO
976;85%;NO
977;90%;NO
978;100%;NO
981;100%;NO
984;100%;NO
985;100%;NO
986;100%;NO
990;94%;NO
991;100%;NO
993;92%;NO
994;75%;NO
995;93%;NO
996;100%;NO
998;100%;NO
999;100%;NO
1001;100%;NO
1002;100%;NO
1004;89%;NO
1005;0%;NO
1006;76%;NO
1008;100%;NO
1010;100%;NO
1011;100%;NO
1014;90%;NO
1015;91%;NO
1016;86%;NO
1017;95%;NO
1018;94%;NO
1019;83%;NO
1020;88%;NO
1021;100%;NO
1022;90%;NO
1027;72%;NO
1030;88%;NO
1031;92%;NO
1032;88%;NO
1033;92%;NO
1034;90%;NO
1037;100%;NO
1038;75%;NO
1040;100%;NO
1041;96%;NO
1042;89%;NO
1044;100%;NO
1045;78%;NO
1046;92%;NO
1047;90%;NO
1049;92%;NO
1050;91%;NO
1051;89%;NO
1052;96%;NO
1053;93%;NO
1055;94%;NO
1059;80%;NO
1061;100%;NO
1062;100%;NO
1063;100%;NO
1064;100%;NO
1065;100%;NO
1066;88%;NO
1068;88%;NO
1069;100%;NO
1071;100%;NO
1072;94%;NO
1076;100%;NO
1077;88%;NO
1078;93%;NO
1082;100%;NO
1083;100%;NO
1084;100%;NO
1087;93%;NO
1092;95%;NO
1093;100%;NO
1094;100%;NO
1095;50%;NO
1096;100%;NO
1099;90%;NO
1100;81%;NO
1101;100%;NO
1102;75%;NO
1104;100%;NO
1108;92%;NO
1109;100%;NO
1113;100%;NO
1114;100%;NO
1116;100%;NO
1117;100%;NO
1122;91%;NO
1125;96%;NO
1128;93%;NO
1129;100%;NO
1130;100%;NO
1131;87%;NO
1132;96%;NO
1133;100%;NO
1134;92%;NO
1135;82%;NO
1136;97%;NO
1137;89%;NO
1139;88%;NO
1140;97%;NO
1142;95%;NO
1143;84%;NO
1144;97%;NO
1145;97%;NO
1147;93%;NO
1150;100%;NO
1151;100%;NO
1152;90%;NO
1153;100%;NO
1156;95%;NO
1157;94%;NO
1158;100%;NO
1160;89%;NO
1161;93%;NO
1162;97%;NO
1166;92%;NO
1168;92%;NO
1170;91%;NO
